Q core socket tempC time
QQQ 0 0 42 1.91
QQQ 1 0 38 1.91
QQQ 2 0 41 1.91
QQQ 3 0 35 1.91
QQQ 4 0 37 1.91
QQQ 5 0 33 1.91
QQQ 6 0 40 1.91
QQQ 7 0 43 1.91
QQQ 0 1 39 1.91
QQQ 1 1 43 1.91
QQQ 2 1 36 1.91
QQQ 3 1 40 1.91
QQQ 4 1 36 1.91
QQQ 5 1 33 1.91
QQQ 6 1 36 1.91
QQQ 7 1 30 1.91
QQQ 0 0 43 2.01
QQQ 1 0 39 2.01
QQQ 2 0 41 2.01
QQQ 3 0 36 2.01
QQQ 4 0 38 2.01
QQQ 5 0 33 2.01
QQQ 6 0 40 2.01
QQQ 7 0 43 2.01
QQQ 0 1 39 2.01
QQQ 1 1 43 2.01
QQQ 2 1 36 2.01
QQQ 3 1 40 2.01
QQQ 4 1 36 2.02
QQQ 5 1 33 2.02
QQQ 6 1 36 2.02
QQQ 7 1 30 2.02
QQQ 0 0 44 2.12
QQQ 1 0 38 2.12
QQQ 2 0 41 2.12
QQQ 3 0 35 2.12
QQQ 4 0 38 2.12
QQQ 5 0 34 2.12
QQQ 6 0 40 2.12
QQQ 7 0 44 2.12
QQQ 0 1 39 2.12
QQQ 1 1 43 2.12
QQQ 2 1 35 2.12
QQQ 3 1 39 2.12
QQQ 4 1 36 2.12
QQQ 5 1 33 2.12
QQQ 6 1 36 2.12
QQQ 7 1 30 2.12
QQQ 0 0 42 2.22
QQQ 1 0 39 2.22
QQQ 2 0 41 2.22
QQQ 3 0 35 2.22
QQQ 4 0 38 2.22
QQQ 5 0 34 2.22
QQQ 6 0 40 2.22
QQQ 7 0 43 2.22
QQQ 0 1 40 2.22
QQQ 1 1 43 2.22
QQQ 2 1 36 2.22
QQQ 3 1 40 2.22
QQQ 4 1 36 2.22
QQQ 5 1 32 2.22
QQQ 6 1 37 2.22
QQQ 7 1 30 2.22
QQQ 0 0 43 2.32
QQQ 1 0 39 2.32
QQQ 2 0 41 2.32
QQQ 3 0 36 2.32
QQQ 4 0 37 2.32
QQQ 5 0 33 2.32
QQQ 6 0 40 2.32
QQQ 7 0 43 2.32
QQQ 0 1 39 2.32
QQQ 1 1 44 2.32
QQQ 2 1 35 2.32
QQQ 3 1 40 2.32
QQQ 4 1 36 2.32
QQQ 5 1 32 2.32
QQQ 6 1 36 2.32
QQQ 7 1 30 2.32
QQQ 0 0 43 2.42
QQQ 1 0 39 2.42
QQQ 2 0 42 2.42
QQQ 3 0 36 2.42
QQQ 4 0 38 2.42
QQQ 5 0 33 2.42
QQQ 6 0 40 2.42
QQQ 7 0 43 2.42
QQQ 0 1 39 2.42
QQQ 1 1 44 2.42
QQQ 2 1 35 2.42
QQQ 3 1 40 2.42
QQQ 4 1 36 2.42
QQQ 5 1 33 2.42
QQQ 6 1 37 2.42
QQQ 7 1 30 2.42
QQQ 0 0 44 2.52
QQQ 1 0 38 2.52
QQQ 2 0 41 2.52
QQQ 3 0 36 2.52
QQQ 4 0 38 2.52
QQQ 5 0 33 2.52
QQQ 6 0 39 2.52
QQQ 7 0 43 2.52
QQQ 0 1 39 2.52
QQQ 1 1 43 2.52
QQQ 2 1 35 2.52
QQQ 3 1 39 2.52
QQQ 4 1 36 2.52
QQQ 5 1 33 2.52
QQQ 6 1 35 2.52
QQQ 7 1 30 2.52
QQQ 0 0 43 2.62
QQQ 1 0 39 2.62
QQQ 2 0 42 2.62
QQQ 3 0 35 2.62
QQQ 4 0 38 2.62
QQQ 5 0 33 2.62
QQQ 6 0 40 2.62
QQQ 7 0 43 2.62
QQQ 0 1 39 2.62
QQQ 1 1 43 2.62
QQQ 2 1 35 2.62
QQQ 3 1 40 2.62
QQQ 4 1 36 2.62
QQQ 5 1 33 2.62
QQQ 6 1 36 2.62
QQQ 7 1 30 2.62
QQQ 0 0 43 2.72
QQQ 1 0 39 2.72
QQQ 2 0 41 2.72
QQQ 3 0 35 2.72
QQQ 4 0 38 2.72
QQQ 5 0 33 2.72
QQQ 6 0 39 2.72
QQQ 7 0 43 2.72
QQQ 0 1 39 2.72
QQQ 1 1 44 2.72
QQQ 2 1 35 2.72
QQQ 3 1 40 2.72
QQQ 4 1 37 2.72
QQQ 5 1 34 2.72
QQQ 6 1 36 2.72
QQQ 7 1 30 2.72
QQQ 0 0 43 2.82
QQQ 1 0 40 2.82
QQQ 2 0 42 2.82
QQQ 3 0 36 2.82
QQQ 4 0 38 2.82
QQQ 5 0 33 2.82
QQQ 6 0 39 2.82
QQQ 7 0 44 2.82
QQQ 0 1 39 2.82
QQQ 1 1 43 2.82
QQQ 2 1 35 2.82
QQQ 3 1 40 2.82
QQQ 4 1 37 2.82
QQQ 5 1 33 2.82
QQQ 6 1 36 2.82
QQQ 7 1 30 2.82
QQQ 0 0 42 2.92
QQQ 1 0 40 2.92
QQQ 2 0 42 2.92
QQQ 3 0 35 2.92
QQQ 4 0 37 2.92
QQQ 5 0 32 2.92
QQQ 6 0 39 2.92
QQQ 7 0 42 2.92
QQQ 0 1 39 2.92
QQQ 1 1 43 2.92
QQQ 2 1 35 2.92
QQQ 3 1 40 2.92
QQQ 4 1 36 2.92
QQQ 5 1 32 2.92
QQQ 6 1 36 2.92
QQQ 7 1 31 2.92
QQQ 0 0 43 3.02
QQQ 1 0 39 3.02
QQQ 2 0 42 3.02
QQQ 3 0 36 3.02
QQQ 4 0 38 3.02
QQQ 5 0 33 3.02
QQQ 6 0 39 3.02
QQQ 7 0 42 3.02
QQQ 0 1 39 3.02
QQQ 1 1 44 3.02
QQQ 2 1 36 3.02
QQQ 3 1 40 3.02
QQQ 4 1 36 3.02
QQQ 5 1 32 3.02
QQQ 6 1 36 3.02
QQQ 7 1 30 3.02
QQQ 0 0 44 3.12
QQQ 1 0 39 3.12
QQQ 2 0 41 3.12
QQQ 3 0 36 3.12
QQQ 4 0 38 3.12
QQQ 5 0 34 3.12
QQQ 6 0 39 3.12
QQQ 7 0 42 3.12
QQQ 0 1 39 3.12
QQQ 1 1 44 3.12
QQQ 2 1 36 3.12
QQQ 3 1 40 3.12
QQQ 4 1 37 3.12
QQQ 5 1 33 3.12
QQQ 6 1 36 3.12
QQQ 7 1 30 3.12
QQQ 0 0 44 3.22
QQQ 1 0 39 3.22
QQQ 2 0 42 3.22
QQQ 3 0 36 3.22
QQQ 4 0 38 3.22
QQQ 5 0 34 3.22
QQQ 6 0 39 3.22
QQQ 7 0 43 3.22
QQQ 0 1 39 3.22
QQQ 1 1 43 3.22
QQQ 2 1 36 3.22
QQQ 3 1 39 3.22
QQQ 4 1 37 3.22
QQQ 5 1 33 3.22
QQQ 6 1 35 3.22
QQQ 7 1 30 3.22
QQQ 0 0 43 3.32
QQQ 1 0 40 3.32
QQQ 2 0 41 3.32
QQQ 3 0 36 3.32
QQQ 4 0 38 3.32
QQQ 5 0 34 3.32
QQQ 6 0 39 3.32
QQQ 7 0 43 3.32
QQQ 0 1 39 3.32
QQQ 1 1 44 3.32
QQQ 2 1 36 3.32
QQQ 3 1 40 3.32
QQQ 4 1 37 3.32
QQQ 5 1 33 3.32
QQQ 6 1 36 3.32
QQQ 7 1 31 3.32
QQQ 0 0 43 3.42
QQQ 1 0 39 3.42
QQQ 2 0 43 3.42
QQQ 3 0 35 3.42
QQQ 4 0 38 3.42
